T6_Z2
Time-Data=(A2/86400)+25569;Temp;Humi;Vbat
1731608948;24.51;43.06;2965
1731609248;25.38;43.17;2964
1731609549;30.48;35.85;2964
1731609849;35.33;29.2;2965
1731610149;37.76;26.32;2967
1731610450;39.71;24.29;2969
1731610750;41.75;22.41;2972
1731611051;42.19;21.88;2975
1731611351;41.14;22.57;2978
1731611651;39.41;23.94;2981
1731611952;37.59;25.44;2984
1731612252;35.87;27.27;2985
1731612552;34.31;29.03;2985
1731612853;32.78;31.21;2985
1731613153;31.49;32.76;2984
1731613454;30.33;34.11;2982
1731613754;29.33;35.4;2981
1731614054;28.45;36.63;2979
1731614355;27.67;37.79;2976
1731614655;26.98;38.76;2974
1731614955;26.38;39.71;2973
1731615256;25.86;40.68;2971
1731615556;25.38;41.6;2969
1731615857;24.94;42.41;2968
1731616157;25.75;42.45;2966
1731616457;30.66;35.17;2966
1731616758;36.06;28.25;2966
1731617058;40.59;23.55;2968
1731617358;42.04;21.91;2971
1731617659;41.34;22.14;2973
1731617959;39.77;23.15;2976
1731618260;37.97;24.46;2978
1731618560;36.19;25.91;2981
1731618860;34.56;27.38;2983
1731619161;33.11;28.84;2984
1731619461;31.82;30.27;2983
1731619759;30.65;31.58;2982
1731620062;29.64;32.73;2981
1731620362;28.75;33.79;2979
1731620660;27.97;34.78;2976
1731620963;27.29;35.71;2974
1731621263;26.68;36.58;2972
1731621564;26.15;37.32;2970
1731621861;26.81;37.54;2969
1731622164;31.41;32.18;2968
1731622465;36.62;26.46;2969
1731622765;41.44;22.03;2970
1731623066;44.67;19.54;2972
1731623366;44.97;19.18;2975
1731623666;43.48;19.9;2977
1731623967;41.37;21.25;2980
1731624267;39.19;22.92;2983
1731624568;37.14;24.64;2985
1731624868;35.31;26.32;2986
1731625168;33.69;27.95;2986
1731625469;32.27;29.47;2985
1731625767;31.05;30.91;2984
1731626069;29.98;32.26;2982
1731626370;29.06;33.49;2980
1731626670;28.25;34.61;2978
1731626968;27.54;35.69;2976
1731627271;26.91;36.67;2974
1731627571;26.37;37.59;2972
1731627869;25.88;38.43;2970
1731628172;25.46;39.22;2968
1731628472;25.08;39.95;2967
1731628773;24.73;40.57;2965
1731629073;24.43;41.19;2964
1731629374;24.72;41.75;2963
1731629674;29.05;36.38;2963
1731629974;34.6;29.15;2963
1731630275;39.83;23.71;2965
1731630575;43.85;20.27;2968
1731630875;45.18;19.21;2971
1731631176;44.14;19.61;2975
1731631476;42.17;20.72;2978
1731631777;39.97;22.34;2981
1731632077;37.85;24.05;2984
1731632377;35.92;25.76;2986
1731632678;34.21;27.42;2986
1731632978;32.73;29.01;2986
1731633279;31.43;30.47;2984
1731633579;30.31;31.85;2982
1731633879;29.34;33.15;2980
1731634180;28.48;34.34;2979
1731634478;27.74;35.41;2977
1731634781;27.07;36.41;2975
1731635081;26.51;37.36;2972
1731635381;25.99;38.22;2970
1731635682;25.56;39.04;2968
1731635982;25.16;39.78;2967
1731636280;24.79;40.47;2965
1731636583;24.48;41.09;2964
1731636883;25.29;41.23;2962
1731637184;30.24;34.75;2962
1731637484;35.76;27.89;2963
1731637784;40.84;22.81;2965
1731638085;44.47;19.82;2968
1731638385;45.35;19.06;2971
1731638685;44.09;19.63;2975
1731638986;42.03;20.82;2979
1731639286;39.81;22.46;2982
1731639587;37.69;24.16;2984
1731639887;35.78;25.89;2986
1731640187;34.09;27.57;2986
1731640488;32.6;29.14;2985
1731640788;31.32;30.64;2983
1731641088;30.2;32.02;2982
1731641389;29.24;33.29;2980
1731641689;28.4;34.45;2978
1731641990;27.66;35.53;2976
1731642290;27;36.55;2974
1731642590;26.44;37.48;2972
1731642888;25.94;38.33;2970
1731643191;25.5;39.15;2968
1731643491;25.1;39.89;2966
1731643789;24.73;40.54;2965
1731644092;25.3;40.95;2964
1731644393;29.99;34.95;2963
1731644693;35.45;28.08;2964
1731644993;40.57;22.94;2966
1731645294;44.36;19.81;2969
1731645594;45.76;18.74;2972
1731645894;44.77;19.12;2976
1731646195;42.77;20.2;2979
1731646495;40.52;21.78;2982
1731646796;38.33;23.53;2985
1731647096;36.35;25.27;2987
1731647396;34.58;26.97;2988
1731647697;33.03;28.6;2987
1731647997;31.7;30.14;2985
1731648297;30.53;31.57;2983
1731648598;29.52;32.91;2982
1731648898;28.64;34.13;2980
1731649196;27.88;35.24;2978
1731649496;27.2;36.28;2976
1731649799;27.59;36.88;2974
1731650100;31.77;31.98;2973
1731650397;34.53;28.35;2973
1731650700;35.06;27.49;2973
1731651001;34.5;27.84;2974
1731651301;33.49;28.73;2975
1731651601;32.37;29.86;2975
1731651902;31.26;31.09;2976
1731652200;30.22;32.33;2977
1731652503;29.29;33.52;2977
1731652803;28.45;34.62;2976
1731653103;27.95;36.01;2974
1731653401;30.67;33.89;2973
1731653704;35.49;28.12;2973
1731654004;40.33;23.21;2974
1731654305;43.87;20.22;2975
1731654605;44.43;19.64;2977
1731654906;43.13;20.29;2979
1731655206;41.16;21.64;2981
1731655506;39.05;23.54;2983
1731655807;36.85;25.45;2985
1731656107;35.11;27;2986
1731656407;33.59;28.56;2986
1731656705;32.24;30.11;2985
1731657008;31.07;31.57;2984
1731657309;30.05;32.94;2982
1731657609;29.13;34.42;2980
1731657909;28.33;35.56;2978
1731658210;27.67;36.6;2977
1731658510;27.07;37.59;2975
1731658811;26.55;38.48;2973
1731659111;26.09;39.33;2971
1731659411;25.68;40.15;2969
1731659712;25.32;40.89;2968
1731660012;24.99;41.61;2966
1731660312;24.69;42.67;2965
1731660613;24.36;44.07;2963
1731660913;24.24;44.15;2962
1731661214;27.33;40.86;2962
1731661514;32.92;32.54;2962
1731661814;38.2;26.37;2964
1731662115;42.7;21.73;2966
1731662415;44.36;20.1;2970
1731662713;43.54;20.21;2973
1731663016;41.69;21.11;2977
1731663316;39.59;22.4;2980
1731663617;37.53;23.69;2983
1731663917;35.65;24.97;2985
1731664217;33.98;26.29;2986
1731664518;32.51;27.54;2985
1731664818;31.22;28.79;2983
1731665118;30.12;30.46;2982
1731665416;29.19;32.43;2980
1731665719;28.39;34;2978
1731666020;27.7;35.37;2976
1731666317;27.07;36.56;2974
1731666620;26.54;37.63;2972
1731666921;26.06;38.66;2970
1731667221;25.65;39.64;2968
1731667519;25.28;40.51;2966
1731667822;24.93;41.31;2965
1731668122;24.93;42.23;2964
1731668423;28.63;37.98;2964
1731668723;34.1;30.48;2964
1731669023;39.38;24.68;2966
1731669324;43.65;20.79;2968
1731669624;45.84;19.13;2971
1731669922;45.45;19.17;2975
1731670225;43.69;20.09;2978
1731670525;41.5;21.49;2981
1731670825;39.31;23.19;2984
1731671126;37.3;24.91;2986
1731671426;35.5;26.63;2987
1731671727;33.93;28.37;2987
1731672027;32.54;30.03;2985
1731672327;31.34;31.7;2984
1731672628;30.29;33.32;2982
1731672928;29.39;34.73;2980
1731673229;28.57;35.97;2978
1731673529;27.89;37.14;2976
1731673829;27.27;38.39;2974
1731674130;26.73;39.42;2972
1731674430;26.25;40.23;2971
1731674728;25.84;40.99;2969
1731675031;25.46;41.75;2968
